"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"1937","NYY","1633","6294","174","979","922","60","11.3%","9.6%",".173",".293",".283",".369",".456",".378","","110","-7.7","86.0","63.6","36.6"
"1990","OAK","1891","6240","164","733","693","141","10.4%","15.9%",".137",".281",".254",".336",".391",".329","","109","4.3","70.6","85.0","36.4"
"1921","NYY","1604","6056","134","948","863","89","9.5%","9.4%",".164",".317",".300",".374",".464",".384","","111","7.9","103.8","61.9","36.4"
"1924","NYG","1792","6067","95","857","781","82","7.7%","7.9%",".131",".316",".300",".358",".432",".367","","114","8.9","113.0","56.0","36.3"
"2011","BOS","2269","6414","203","875","842","102","9.0%","17.3%",".181",".314",".280",".349",".461",".352","","117","-12.2","114.3","16.2","36.3"
"2013","BOS","2264","6382","178","853","819","123","9.1%","20.5%",".169",".329",".277",".349",".446",".347","","114","13.3","116.7","11.9","36.2"
"1922","NYG","1749","6109","80","852","756","116","7.3%","6.9%",".123",".319",".305",".363",".428",".366","","106","1.4","49.5","96.9","36.2"
"1910","PHA","1558","5809","19","670","541","207","7.0%","",".089","",".266",".326",".355",".333","","115","0.6","89.9","66.8","36.1"
"1892","BRO","1459","6168","30","935","719","409","10.2%","8.2%",".088",".285",".262",".344",".350",".341","","113","20.8","132.3","20.8","36.1"
"1998","NYY","1962","6444","207","965","907","153","10.1%","15.9%",".172",".317",".288",".364",".460",".360","","116","3.1","138.4","6.9","36.1"
"1897","BAL","1297","5496","19","964","821","401","8.0%","",".089","",".325",".394",".414",".388","","114","27.0","147.7","56.6","36.0"
"1970","CIN","2071","6222","191","775","726","115","8.8%","15.8%",".165",".296",".270",".336",".436",".342","","108","4.2","67.5","66.8","36.0"
"1973","OAK","2210","6257","147","758","714","128","9.5%","14.7%",".129",".286",".260",".333",".389",".327","","109","6.2","69.1","66.0","36.0"
"1982","MIL","1638","6337","216","891","843","84","7.6%","11.3%",".176",".285",".279",".335",".455",".348","","120","-3.6","147.6","-4.5","35.9"
"2010","CIN","2370","6285","188","790","761","93","8.3%","19.4%",".164",".314",".272",".338",".436",".340","","106","12.7","57.2","96.8","35.7"
"2003","ATL","2362","6378","235","907","872","68","8.5%","14.6%",".192",".302",".284",".349",".475",".354","","112","9.5","105.3","46.7","35.6"
"1972","CIN","1952","6003","124","707","650","140","10.1%","15.2%",".129",".280",".251",".330",".380",".322","","104","7.1","35.0","83.6","35.5"
"1909","PIT","1562","5860","25","701","585","185","8.2%","",".093","",".260",".327",".353",".335","","110","-3.1","57.9","62.1","35.5"
"1984","DET","1875","6375","187","829","788","106","9.4%","14.8%",".161",".294",".271",".342",".432",".345","","115","-6.0","109.2","27.9","35.5"
"1933","NYY","1707","6066","144","927","853","76","11.5%","8.4%",".156",".292",".284",".369",".440",".375","","118","-10.2","134.9","-5.1","35.4"
"1993","SFG","2229","6271","168","808","759","120","8.2%","14.8%",".151",".303",".276",".340",".427",".337","","107","-1.7","55.6","75.0","35.3"
"1894","BAL","1212","5413","33","1171","976","324","9.5%","3.7%",".140",".353",".343",".418",".483",".417","","114","6.9","156.3","70.1","35.2"
"2016","BOS","2284","6320","208","878","836","83","8.8%","18.4%",".179",".320",".282",".348",".461",".346","","113","10.6","109.9","15.9","35.2"
"1998","HOU","2125","6441","166","874","818","155","9.6%","17.4%",".156",".321",".280",".356",".436",".347","","113","8.7","112.1","44.5","35.2"
"1957","MIL","1880","6050","199","772","722","35","7.6%","12.0%",".173",".278",".269",".327",".442",".337","","111","4.7","86.1","70.6","35.1"
"1941","BRO","1816","6218","101","800","747","36","9.6%","8.6%",".133",".287",".272",".347",".405",".352","","109","4.3","67.1","93.0","35.1"
"2009","TBR","2345","6223","199","803","765","194","10.3%","19.7%",".177",".303",".263",".343",".439",".342","","109","21.6","90.5","41.8","35.1"
"2002","SFG","2263","6298","198","783","751","74","9.8%","15.3%",".175",".289",".267",".344",".442",".338","","109","2.8","73.4","72.1","35.1"
"1929","NYY","1773","6100","142","899","828","52","9.1%","8.2%",".156",".306",".296",".364",".451",".371","","113","-13.8","90.1","58.5","35.0"
"1891","BSR","1314","5606","52","1028","776","447","11.6%","8.9%",".106",".297",".274",".367",".380",".366","","111","29.5","128.4","30.5","35.0"
"1896","BAL","1232","5323","23","995","854","441","7.3%","3.8%",".101",".339",".328",".393",".429",".392","","117","29.8","173.8","30.9","35.0"
"1964","MIL","2097","6206","159","803","755","53","7.8%","13.3%",".146",".293",".272",".333",".418",".332","","112","-3.0","83.1","24.4","35.0"
"1928","NYY","1774","6067","133","894","817","50","9.3%","9.1%",".154",".310",".295",".365",".450",".374","","116","-15.4","114.0","22.1","35.0"
"2007","PHI","2446","6537","213","892","850","138","9.8%","18.4%",".184",".311",".274",".354",".458",".351","","105","20.6","63.6","78.5","34.9"
"2018","LAD","2574","6358","235","804","756","75","10.2%","22.6%",".191",".294",".250",".333",".442",".333","","111","11.4","99.3","38.3","34.8"
"1978","MIL","1632","6227","173","804","762","95","8.4%","12.9%",".155",".294",".276",".339",".432",".347","","117","-0.6","121.0","3.1","34.7"
"2000","SFG","2123","6418","226","925","889","79","11.0%","16.1%",".194",".303",".278",".362",".472",".359","","112","-1.3","103.7","53.7","34.7"
"1951","BRO","1928","6214","184","855","794","89","9.7%","10.4%",".159",".285",".275",".352",".434",".362","","109","-6.1","61.2","71.1","34.5"
"1912","PHA","1556","5835","22","779","620","258","8.3%","",".095","",".282",".349",".377",".350","","110","7.9","80.2","65.3","34.4"
"1999","CLE","1859","6554","209","1009","960","147","11.3%","16.8%",".177",".323",".289",".373",".467",".367","","112","6.9","114.5","18.6","34.4"
"2003","STL","2391","6466","196","876","827","82","9.0%","14.7%",".175",".302",".279",".350",".454",".346","","109","9.2","83.9","53.5","34.4"
"1935","CHC","1656","6133","88","847","782","66","7.6%","7.7%",".126",".303",".288",".347",".414",".350","","105","11.2","53.1","89.1","34.3"
"1983","DET","1850","6246","156","789","749","93","8.1%","13.3%",".153",".295",".274",".335",".427",".339","","110","-3.3","66.6","60.6","34.3"
"1985","STL","2121","6182","87","747","687","314","9.5%","13.8%",".114",".298",".264",".335",".379",".319","","102","22.6","37.0","93.0","34.3"
"1946","BOS","1753","6126","109","792","737","45","11.2%","10.8%",".131",".293",".271",".356",".402",".360","","109","-7.9","54.3","57.7","34.3"
"1908","NYG","1647","5826","20","652","562","181","8.5%","",".066","",".267",".342",".333",".334","","115","-4.9","85.4","21.8","34.3"
"1968","DET","2057","6179","185","671","640","26","8.4%","15.6%",".150",".253",".235",".307",".385",".316","","108","-5.2","42.2","95.4","34.3"
"1938","NYY","1614","6259","174","966","918","91","12.0%","9.9%",".172",".283",".274",".366",".446",".374","","105","3.4","52.0","63.1","34.2"
"1942","BOS","1625","5984","103","761","702","68","9.9%","8.5%",".126",".291",".276",".352",".403",".359","","109","-12.5","50.7","65.7","34.2"
"1953","NYY","1929","5960","139","801","762","34","11.0%","10.8%",".144",".290",".273",".358",".417",".355","","115","-6.0","102.8","36.9","34.1"
"1982","CAL","1779","6350","186","814","760","55","9.7%","12.0%",".159",".287",".274",".347",".433",".347","","114","-9.8","95.4","31.3","34.1"
"1960","NYY","2093","5981","193","746","699","37","9.0%","13.7%",".165",".274",".260",".329",".426",".335","","107","0.3","48.5","106.9","34.0"
"2019","LAD","2413","6281","279","886","861","57","9.7%","21.6%",".215",".291",".257",".338",".472",".338","","110","11.9","92.5","51.7","34.0"
"1997","SEA","1911","6385","264","925","890","89","9.8%","17.4%",".204",".305",".280",".355",".485",".363","","116","1.0","133.6","-10.9","34.0"
"2008","STL","2396","6370","174","779","744","73","9.1%","15.5%",".152",".312",".281",".350",".433",".342","","107","-10.0","46.4","90.6","34.0"
"1921","NYG","1756","5946","75","840","748","137","7.9%","6.6%",".123",".312",".298",".359",".421",".361","","108","-4.4","54.3","87.1","34.0"
"1934","NYY","1713","6178","135","842","789","71","11.3%","9.7%",".140",".293",".278",".364",".419",".362","","107","-9.1","55.7","74.1","33.9"
"2021","HOU","2319","6291","221","863","834","53","9.0%","19.4%",".177",".303",".267",".339",".444",".336","","116","-6.2","117.5","7.0","33.9"
"2011","TEX","2186","6261","210","855","807","143","7.6%","14.9%",".177",".304",".283",".340",".460",".347","","112","20.6","107.4","5.3","33.9"
"2007","NYY","2366","6528","201","968","929","123","9.8%","15.2%",".174",".318",".290",".366",".463",".361","","119","11.9","168.4","-47.2","33.9"
"2009","NYY","2369","6449","244","915","881","111","10.3%","15.7%",".194",".306",".283",".362",".478",".365","","117","0.2","137.5","-25.5","33.8"
"2012","LAA","2267","6121","187","767","732","134","7.3%","18.2%",".159",".311",".274",".332",".433",".331","","113","13.5","109.8","5.9","33.8"
"1966","PIT","2082","6229","158","759","715","64","6.5%","16.2%",".149",".314",".279",".329",".428",".331","","108","-6.7","52.3","46.7","33.8"
"2017","HOU","2313","6271","238","896","854","98","8.1%","17.3%",".196",".309",".282",".346",".478",".349","","121","-0.4","162.6","-37.9","33.7"
"1956","NYY","1934","6075","190","857","788","51","10.1%","12.4%",".164",".282",".270",".347",".434",".348","","108","-1.0","57.6","68.6","33.7"
"1948","BSN","1818","6121","95","739","695","43","10.9%","8.8%",".124",".292",".275",".358",".399",".357","","110","5.8","82.4","53.6","33.7"
"1887","STL","1240","5557","39","1131","862","581","8.0%","",".106","",".307",".371",".413",".368","","111","19.0","125.3","33.8","33.7"
"2004","STL","2381","6297","214","855","817","111","8.7%","17.2%",".182",".307",".278",".344",".460",".344","","107","18.9","72.1","60.7","33.6"
"2012","NYY","2367","6231","245","804","774","93","9.1%","18.9%",".188",".293",".265",".337",".453",".342","","113","2.3","97.2","12.1","33.6"
"1917","NYG","1719","5787","39","635","537","162","6.4%","9.2%",".082",".285",".261",".317",".343",".322","","106","1.5","38.7","76.6","33.5"
"1934","DET","1669","6232","74","957","872","125","10.2%","8.4%",".124",".322",".300",".376",".424",".370","","107","-2.4","61.7","62.1","33.5"
"1978","LAD","2045","6225","149","727","686","137","9.8%","13.1%",".138",".285",".264",".338",".402",".333","","108","8.2","64.4","44.1","33.4"
"1949","BRO","1832","6173","152","879","816","117","10.3%","9.2%",".146",".283",".274",".354",".419",".362","","105","22.1","59.9","74.0","33.4"
"1943","STL","1729","6055","70","679","638","40","7.1%","7.2%",".113",".293",".279",".334",".392",".346","","106","5.6","48.1","81.3","33.3"
"2017","LAD","2464","6191","221","770","730","77","10.5%","22.3%",".188",".293",".249",".334",".437",".330","","104","5.8","40.7","90.2","33.3"
"1955","BRO","1822","6037","201","857","800","79","11.2%","11.9%",".177",".278",".271",".356",".448",".358","","109","-1.9","67.1","91.2","33.3"
"1986","NYM","2086","6349","148","783","730","118","9.9%","15.2%",".138",".292",".263",".339",".401",".328","","108","3.9","64.0","52.6","33.3"
"1915","DET","1706","6046","23","778","647","241","11.3%","8.7%",".090",".295",".268",".357",".358",".350","","111","-8.5","63.7","30.1","33.2"
"1965","CIN","1984","6355","183","825","776","82","8.5%","15.8%",".166",".302",".273",".339",".439",".342","","112","1.7","84.9","12.0","33.1"
"1967","DET","2132","6200","152","683","619","37","10.1%","16.0%",".133",".271",".243",".325",".376",".318","","105","3.2","38.0","94.7","33.1"
"1911","PHA","1568","5920","35","861","692","226","7.2%","",".102","",".296",".357",".398",".362","","112","0.8","91.9","24.8","33.1"
"1922","SLB","1619","6130","98","868","785","136","7.7%","6.2%",".143",".321",".310",".369",".453",".378","","107","8.7","68.3","72.2","33.0"
"1954","NYY","2045","6027","133","805","747","34","10.8%","10.5%",".140",".281",".268",".348",".408",".348","","111","-4.9","75.1","58.4","33.0"
"1957","NYY","1882","5992","145","723","680","49","9.4%","11.8%",".141",".284",".268",".339",".409",".331","","107","-0.8","49.0","84.1","33.0"
"1911","NYG","1671","5781","41","756","651","347","9.2%","8.8%",".111",".305",".279",".358",".390",".361","","111","25.5","103.7","30.1","32.9"
"2008","BOS","2293","6402","173","845","807","120","10.1%","16.7%",".168",".315",".280",".358",".447",".351","","110","-4.7","72.2","35.4","32.9"
"2019","NYY","2312","6245","306","943","904","55","9.1%","23.0%",".222",".306",".267",".339",".490",".346","","117","-0.8","132.5","-14.5","32.8"
"1931","PHA","1575","6018","118","858","798","25","8.8%","9.0%",".147",".302",".287",".355",".435",".363","","104","-6.3","27.6","86.9","32.8"
"1971","OAK","2016","6191","160","691","642","80","8.8%","16.4%",".132",".281",".252",".321",".384",".320","","105","-2.2","33.5","79.6","32.8"
"1929","CHC","1712","6252","139","982","933","103","9.4%","9.1%",".150",".318",".303",".373",".452",".377","","105","18.0","62.4","74.9","32.8"
"1986","DET","1729","6269","198","798","751","138","9.8%","14.1%",".161",".279",".263",".338",".424",".338","","110","3.8","76.1","35.5","32.8"
"2008","PHI","2396","6273","214","799","762","136","9.3%","17.8%",".182",".283",".255",".332",".438",".334","","98","23.6","4.7","123.4","32.8"
"1993","NYY","1724","6359","178","821","793","39","9.9%","14.3%",".156",".304",".279",".353",".435",".350","","114","-5.2","101.6","22.8","32.7"
"1950","NYY","1868","6164","159","914","860","41","11.1%","7.4%",".159",".285",".282",".367",".441",".371","","108","-6.0","61.8","54.2","32.7"
"1950","BOS","1719","6322","161","1027","974","32","11.4%","9.2%",".162",".315",".302",".385",".464",".388","","109","-3.1","78.9","32.4","32.7"
"1963","MIN","2014","6233","225","767","722","32","8.8%","14.6%",".175",".267",".255",".325",".430",".335","","108","3.0","61.4","72.1","32.7"
"1952","CLE","1869","6060","148","763","721","46","10.3%","12.4%",".141",".282",".262",".342",".404",".348","","111","0.0","79.0","36.6","32.6"
"1927","NYG","1794","6045","109","817","765","73","7.6%","7.6%",".131",".309",".297",".356",".427",".363","","110","10.2","87.0","50.8","32.6"
"2003","BOS","2313","6530","238","961","932","88","9.5%","14.4%",".202",".307",".289",".360",".491",".364","","120","3.5","167.2","-61.5","32.6"
"1985","NYY","1708","6236","176","839","793","155","9.9%","12.4%",".158",".280",".267",".344",".425",".341","","112","7.9","99.4","10.0","32.5"
"1909","PHA","1526","5620","21","601","498","205","7.2%","",".087","",".256",".321",".343",".327","","112","3.1","70.8","48.1","32.5"
"1980","MIL","1598","6242","203","811","774","131","7.3%","11.9%",".173",".284",".275",".329",".448",".344","","113","3.3","97.3","5.2","32.4"
"1976","PHI","2170","6237","110","770","708","127","8.7%","12.7%",".123",".297",".272",".338",".395",".336","","106","-2.2","36.8","59.7","32.4"
"1926","NYY","1735","6092","121","847","791","79","10.5%","9.5%",".149",".307",".289",".370",".438",".377","","112","-13.4","86.8","15.9","32.3"
"1912","NYG","1697","5802","47","823","701","319","8.9%","8.6%",".109",".310",".286",".360",".395",".363","","108","19.2","81.0","38.1","32.3"
"1923","NYG","1798","6083","85","854","790","106","8.0%","6.7%",".120",".307",".295",".356",".415",".361","","106","6.0","51.5","65.4","32.3"
"1947","NYY","1725","6031","115","794","748","27","10.1%","9.6%",".135",".287",".271",".349",".407",".353","","109","-5.0","61.3","59.7","32.2"
"1972","PIT","1924","6021","110","691","654","49","6.7%","14.5%",".123",".306",".274",".324",".397",".325","","105","0.4","36.1","48.0","32.2"
"2018","BOS","2345","6302","208","876","829","125","9.0%","19.9%",".185",".309",".268",".339",".453",".340","","111","-5.1","74.1","30.9","32.2"
"2018","OAK","2403","6255","227","813","778","35","8.8%","22.1%",".187",".294",".252",".325",".439",".329","","112","-5.8","83.2","23.0","32.2"
"1943","NYY","1625","6024","100","669","635","46","10.4%","9.3%",".120",".271",".256",".337",".376",".344","","109","-15.1","41.4","59.7","32.1"
"1886","DET","1140","4875","53","829","635","194","7.7%","8.7%",".110",".300",".280",".335",".390",".342","","116","-5.0","110.8","48.8","32.1"
"1979","BAL","1817","6106","181","757","717","99","10.0%","13.9%",".158",".277",".261",".336",".419",".336","","108","1.9","59.3","54.0","32.1"
"1975","PHI","2206","6367","125","735","687","126","9.6%","15.1%",".133",".304",".269",".342",".402",".338","","103","4.6","26.9","72.1","32.0"
"1978","PHI","2111","6154","133","708","661","152","9.0%","14.1%",".131",".283",".258",".328",".388",".322","","98","8.9","-6.8","110.4","32.0"
"1965","MIN","2171","6213","150","774","711","92","8.9%","15.6%",".144",".281",".254",".324",".399",".319","","100","6.2","9.0","106.1","32.0"
"1925","PIT","1676","6036","78","912","820","159","8.3%","6.0%",".141",".319",".307",".369",".449",".375","","106","17.4","68.2","60.1","32.0"
"1962","NYY","2053","6393","199","817","791","42","9.1%","13.2%",".159",".281",".267",".337",".426",".338","","107","-2.6","54.0","74.4","32.0"
"2009","PHI","2285","6338","224","820","788","119","9.3%","18.2%",".189",".286",".258",".334",".447",".339","","103","20.0","42.5","78.4","32.0"
"1997","ATL","2208","6315","174","791","755","108","9.5%","18.4%",".156",".310",".270",".343",".426",".338","","101","-2.9","7.4","114.3","31.8"
"2014","LAD","2364","6231","134","718","686","138","8.3%","20.0%",".140",".318",".265",".333",".406",".327","","112","-0.4","81.4","20.3","31.8"
"1920","CLE","1672","6067","35","856","757","73","9.5%","6.2%",".115",".321",".303",".376",".417",".374","","108","-3.0","58.5","44.3","31.8"
"1923","NYY","1625","6036","105","824","771","69","8.5%","8.5%",".132",".307",".291",".357",".423",".363","","105","-3.4","37.1","88.7","31.8"
"1965","MIL","2139","6077","196","708","664","64","6.7%","16.1%",".160",".278",".256",".310",".416",".321","","104","-0.8","29.9","69.4","31.7"
"1895","BAL","1241","5311","25","1009","828","310","6.7%","4.6%",".103",".338",".324",".384",".427",".384","","109","11.1","89.7","76.8","31.7"
"1990","PIT","2217","6161","138","733","693","137","9.4%","14.8%",".146",".286",".259",".330",".405",".328","","104","4.6","32.9","55.8","31.7"
"1988","BOS","1644","6334","124","813","760","65","9.8%","11.5%",".137",".304",".283",".357",".420",".348","","115","-6.0","103.9","-15.4","31.7"
"1935","DET","1584","6182","106","919","836","70","10.2%","7.3%",".145",".302",".290",".366",".435",".368","","106","-8.0","42.3","75.0","31.7"
"1975","OAK","2238","6185","151","758","703","183","9.8%","13.7%",".136",".275",".254",".333",".391",".332","","111","5.9","81.2","20.4","31.6"
"1914","PHA","1622","5941","29","749","627","231","9.2%","8.7%",".080",".298",".272",".348",".352",".342","","111","-41.9","29.4","31.2","31.6"
"1961","DET","2036","6378","180","841","779","98","10.6%","13.6%",".155",".285",".266",".347",".421",".342","","101","7.1","17.1","96.8","31.5"
"1949","BOS","1630","6250","131","896","835","43","13.4%","8.2%",".139",".293",".282",".381",".420",".378","","106","-3.4","41.5","61.9","31.5"
"1980","BAL","1865","6282","156","805","751","111","9.3%","12.2%",".140",".290",".273",".342",".413",".339","","111","6.2","85.2","7.4","31.5"
"1977","CIN","2096","6265","181","802","750","170","9.6%","14.5%",".162",".297",".274",".345",".436",".344","","108","12.7","69.9","34.6","31.5"
"1958","MIL","1850","5859","167","675","641","26","8.2%","11.0%",".146",".274",".266",".329",".412",".327","","102","5.4","18.9","99.7","31.5"
"2019","MIN","2320","6392","307","939","906","28","8.2%","20.9%",".224",".300",".270",".338",".494",".347","","116","-8.4","125.4","-26.7","31.5"
"1973","CIN","2209","6304","137","741","686","148","10.1%","15.0%",".129",".282",".254",".332",".383",".323","","102","11.0","22.3","80.4","31.4"
"1988","OAK","1870","6356","156","800","752","129","9.1%","14.6%",".136",".288",".263",".336",".399",".332","","113","0.0","92.2","-6.3","31.4"
"2014","PIT","2362","6224","156","682","659","104","8.4%","20.0%",".145",".307",".259",".330",".404",".325","","108","3.8","61.6","36.7","31.4"
"2018","NYY","2269","6271","267","851","821","63","10.0%","22.7%",".202",".285",".249",".329",".451",".335","","112","14.6","102.8","-4.6","31.4"
"1997","CLE","1917","6304","220","868","810","118","9.8%","15.1%",".181",".309",".286",".358",".467",".360","","113","-1.4","106.5","-8.1","31.3"
"2002","SEA","2251","6362","152","814","771","137","9.9%","15.8%",".144",".307",".275",".350",".419",".335","","110","12.9","87.6","8.8","31.3"
"1895","PHI","1289","5689","61","1068","930","276","8.1%","4.6%",".119",".340",".330",".394",".450",".397","","117","-0.2","162.5","4.7","31.3"
"2000","ANA","1839","6373","236","864","837","93","9.5%","16.1%",".193",".303",".280",".352",".472",".356","","106","-4.5","49.9","52.7","31.3"
"2010","NYY","2313","6379","201","859","823","103","10.4%","17.8%",".169",".300",".267",".350",".436",".346","","112","12.1","101.5","-24.8","31.2"
"1966","BAL","1984","6199","175","755","703","55","8.3%","14.9%",".152",".280",".258",".324",".409",".323","","110","-2.2","65.2","53.0","31.2"
"1998","SFG","2304","6484","161","845","800","102","10.5%","16.0%",".147",".308",".274",".353",".421",".340","","108","-1.4","62.2","52.7","31.2"
"2000","STL","2196","6369","235","887","841","87","10.6%","19.7%",".185",".308",".270",".356",".455",".353","","105","-5.2","36.0","82.1","31.2"
"1937","CHC","1725","6028","96","811","762","71","8.9%","8.2%",".129",".303",".287",".355",".416",".356","","109","10.6","75.3","48.8","31.2"
"1963","STL","2069","6283","128","747","697","77","7.3%","14.6%",".132",".302",".271",".326",".403",".323","","101","1.7","8.1","66.0","31.2"
"1951","NYG","1824","6153","179","781","734","55","10.9%","10.1%",".157",".267",".260",".347",".418",".354","","105","1.9","38.3","63.3","31.2"
"1998","BOS","2043","6302","205","876","827","72","8.6%","16.6%",".183",".310",".280",".348",".463",".352","","107","-2.7","54.8","44.2","31.1"
"1951","NYY","1886","5924","140","798","741","78","10.2%","9.2%",".139",".278",".269",".349",".408",".351","","108","4.3","66.0","51.5","31.1"
